DocumentUrl	Title	GitHubUrl
whatsnew/index.html	What’s New in Python	
whatsnew/3.6.html	What’s New In Python 3.6	
whatsnew/3.6.html#summary-release-highlights	概要 – リリースハイライト	
whatsnew/3.6.html#new-features	新しい機能	
whatsnew/3.6.html#pep-498-formatted-string-literals	PEP 498: フォーマット済み文字列リテラル	
whatsnew/3.6.html#pep-526-syntax-for-variable-annotations	PEP 526: 変数アノテーションのシンタックス	
whatsnew/3.6.html#pep-515-underscores-in-numeric-literals	PEP 515: 数値リテラル内のアンダースコア	
whatsnew/3.6.html#pep-525-asynchronous-generators	PEP 525: 非同期ジェネレータ	
whatsnew/3.6.html#pep-530-asynchronous-comprehensions	PEP 530: 非同期内包表記	
whatsnew/3.6.html#pep-487-simpler-customization-of-class-creation	PEP 487: Simpler customization of class creation	
whatsnew/3.6.html#pep-487-descriptor-protocol-enhancements	PEP 487: 記述子プロトコルの改善	
whatsnew/3.6.html#pep-519-adding-a-file-system-path-protocol	PEP 519: ファイルシステムパスプロトコルの追加	
whatsnew/3.6.html#pep-495-local-time-disambiguation	PEP 495: 地域時間の曖昧さ回避	
whatsnew/3.6.html#pep-529-change-windows-filesystem-encoding-to-utf-8	PEP 529: Windows ファイルシステムのエンコーディングを UTF-8 に変更	
whatsnew/3.6.html#pep-528-change-windows-console-encoding-to-utf-8	PEP 528: Windows コンソールのエンコーディングを UTF-8 に変更	
whatsnew/3.6.html#pep-520-preserving-class-attribute-definition-order	PEP 520: クラス属性の定義の順番を保持	
whatsnew/3.6.html#pep-468-preserving-keyword-argument-order	PEP 468: キーワード引数の順番の保持	
whatsnew/3.6.html#new-dict-implementation	新たなdict実装	
whatsnew/3.6.html#pep-523-adding-a-frame-evaluation-api-to-cpython	PEP 523: CPython にフレーム評価 API を追加	
whatsnew/3.6.html#pythonmalloc-environment-variable	PYTHONMALLOC 環境変数	
whatsnew/3.6.html#dtrace-and-systemtap-probing-support	DTrace and SystemTap probing support	
whatsnew/3.6.html#other-language-changes	その他の言語変更	
whatsnew/3.6.html#new-modules	新たなモジュール	
whatsnew/3.6.html#secrets	secrets	
whatsnew/3.6.html#improved-modules	改良されたモジュール	
whatsnew/3.6.html#array	array	
whatsnew/3.6.html#ast	ast	
whatsnew/3.6.html#asyncio	asyncio	
whatsnew/3.6.html#binascii	binascii	
whatsnew/3.6.html#cmath	cmath	
whatsnew/3.6.html#collections	collections	
whatsnew/3.6.html#concurrent-futures	concurrent.futures	
whatsnew/3.6.html#contextlib	contextlib	
whatsnew/3.6.html#datetime	datetime	
whatsnew/3.6.html#decimal	decimal	
whatsnew/3.6.html#distutils	distutils	
whatsnew/3.6.html#email	email	
whatsnew/3.6.html#encodings	エンコーディング	
whatsnew/3.6.html#enum	enum	
whatsnew/3.6.html#faulthandler	faulthandler	
whatsnew/3.6.html#fileinput	fileinput	
whatsnew/3.6.html#hashlib	hashlib	
whatsnew/3.6.html#http-client	http.client	
whatsnew/3.6.html#idlelib-and-idle	idlelib と IDLE	
whatsnew/3.6.html#importlib	importlib	
whatsnew/3.6.html#inspect	inspect	
whatsnew/3.6.html#json	json	
whatsnew/3.6.html#logging	logging	
whatsnew/3.6.html#math	math	
whatsnew/3.6.html#multiprocessing	multiprocessing	
whatsnew/3.6.html#os	os	
whatsnew/3.6.html#pathlib	pathlib	
whatsnew/3.6.html#pdb	pdb	
whatsnew/3.6.html#pickle	pickle	
whatsnew/3.6.html#pickletools	pickletools	
whatsnew/3.6.html#pydoc	pydoc	
whatsnew/3.6.html#random	random	
whatsnew/3.6.html#re	re	
whatsnew/3.6.html#readline	readline	
whatsnew/3.6.html#rlcompleter	rlcompleter	
whatsnew/3.6.html#shlex	shlex	
whatsnew/3.6.html#site	site	
whatsnew/3.6.html#sqlite3	sqlite3	
whatsnew/3.6.html#socket	socket	
whatsnew/3.6.html#socketserver	socketserver	
whatsnew/3.6.html#ssl	ssl	
whatsnew/3.6.html#statistics	statistics	
whatsnew/3.6.html#struct	struct	
whatsnew/3.6.html#subprocess	subprocess	
whatsnew/3.6.html#sys	sys	
whatsnew/3.6.html#telnetlib	telnetlib	
whatsnew/3.6.html#time	time	
whatsnew/3.6.html#timeit	timeit	
whatsnew/3.6.html#tkinter	tkinter	
whatsnew/3.6.html#traceback	traceback	
whatsnew/3.6.html#tracemalloc	tracemalloc	
whatsnew/3.6.html#typing	typing	
whatsnew/3.6.html#unicodedata	unicodedata	
whatsnew/3.6.html#unittest-mock	unittest.mock	
whatsnew/3.6.html#urllib-request	urllib.request	
whatsnew/3.6.html#urllib-robotparser	urllib.robotparser	
whatsnew/3.6.html#venv	venv	
whatsnew/3.6.html#warnings	warnings	
whatsnew/3.6.html#winreg	winreg	
whatsnew/3.6.html#winsound	winsound	
whatsnew/3.6.html#xmlrpc-client	xmlrpc.client	
whatsnew/3.6.html#zipfile	zipfile	
whatsnew/3.6.html#zlib	zlib	
whatsnew/3.6.html#optimizations	最適化	
whatsnew/3.6.html#build-and-c-api-changes	ビルドならびに C API の変更	
whatsnew/3.6.html#other-improvements	その他の改善	
whatsnew/3.6.html#deprecated	非推奨	
whatsnew/3.6.html#new-keywords	新たなキーワード	
whatsnew/3.6.html#deprecated-python-behavior	非推奨の Python 挙動	
whatsnew/3.6.html#deprecated-python-modules-functions-and-methods	非推奨の Python モジュール、関数、メソッド	
whatsnew/3.6.html#asynchat	asynchat	
whatsnew/3.6.html#asyncore	asyncore	
whatsnew/3.6.html#dbm	dbm	
whatsnew/3.6.html#id2	distutils	
whatsnew/3.6.html#grp	grp	
whatsnew/3.6.html#id3	importlib	
whatsnew/3.6.html#id4	os	
whatsnew/3.6.html#id5	re	
whatsnew/3.6.html#id6	ssl	
whatsnew/3.6.html#id7	tkinter	
whatsnew/3.6.html#id8	venv	
whatsnew/3.6.html#deprecated-functions-and-types-of-the-c-api	C API の非推奨の関数ならびに型	
whatsnew/3.6.html#deprecated-build-options	非推奨のビルドオプション	
whatsnew/3.6.html#removed	削除	
whatsnew/3.6.html#api-and-feature-removals	API と機能の削除	
whatsnew/3.6.html#porting-to-python-3-6	Python 3.6 への移植	
whatsnew/3.6.html#changes-in-python-command-behavior	‘python’ コマンドの挙動の変更	
whatsnew/3.6.html#changes-in-the-python-api	Python API の変更	
whatsnew/3.6.html#changes-in-the-c-api	C API の変更	
whatsnew/3.6.html#cpython-bytecode-changes	CPython バイトコードの変更	
whatsnew/3.5.html	What’s New In Python 3.5	
whatsnew/3.5.html#summary-release-highlights	概要 – リリースハイライト	
whatsnew/3.5.html#new-features	新しい機能	
whatsnew/3.5.html#pep-492-coroutines-with-async-and-await-syntax	PEP 492 - コルーチン、 async と await 構文	
whatsnew/3.5.html#pep-465-a-dedicated-infix-operator-for-matrix-multiplication	PEP 465 - 行列の乗算専用の中置演算子	
whatsnew/3.5.html#pep-448-additional-unpacking-generalizations	PEP 448 - 追加可能なアンパッキングへの一般化	
whatsnew/3.5.html#pep-461-percent-formatting-support-for-bytes-and-bytearray	PEP 461 - bytes および bytearray のパーセント書式化サポート	
whatsnew/3.5.html#pep-484-type-hints	PEP 484 - 型ヒント	
whatsnew/3.5.html#pep-471-os-scandir-function-a-better-and-faster-directory-iterator	PEP 471 - os.scandir() 関数 – より良く、速いディレクトリイテレータ	
whatsnew/3.5.html#pep-475-retry-system-calls-failing-with-eintr	PEP 475: EINTR で失敗したシステムコールの再試行	
whatsnew/3.5.html#pep-479-change-stopiteration-handling-inside-generators	PEP 479: ジェネレータ内の StopIteration の処理の変更	
whatsnew/3.5.html#pep-485-a-function-for-testing-approximate-equality	PEP 485: 近似的に等しいことを調べる関数	
whatsnew/3.5.html#pep-486-make-the-python-launcher-aware-of-virtual-environments	PEP 486: Python ランチャーが仮想環境を認識する	
whatsnew/3.5.html#pep-488-elimination-of-pyo-files	PEP 488: PYO ファイルの廃止	
whatsnew/3.5.html#pep-489-multi-phase-extension-module-initialization	PEP 489: 拡張モジュールの多段階初期化	
whatsnew/3.5.html#other-language-changes	その他の言語変更	
whatsnew/3.5.html#new-modules	新たなモジュール	
whatsnew/3.5.html#typing	typing	
whatsnew/3.5.html#zipapp	zipapp	
whatsnew/3.5.html#improved-modules	改良されたモジュール	
whatsnew/3.5.html#argparse	argparse	
whatsnew/3.5.html#asyncio	asyncio	
whatsnew/3.5.html#bz2	bz2	
whatsnew/3.5.html#cgi	cgi	
whatsnew/3.5.html#cmath	cmath	
whatsnew/3.5.html#code	コード	
whatsnew/3.5.html#collections	collections	
whatsnew/3.5.html#collections-abc	collections.abc	
whatsnew/3.5.html#compileall	compileall	
whatsnew/3.5.html#concurrent-futures	concurrent.futures	
whatsnew/3.5.html#configparser	configparser	
whatsnew/3.5.html#contextlib	contextlib	
whatsnew/3.5.html#csv	csv	
whatsnew/3.5.html#curses	curses	
whatsnew/3.5.html#dbm	dbm	
whatsnew/3.5.html#difflib	difflib	
whatsnew/3.5.html#distutils	distutils	
whatsnew/3.5.html#doctest	doctest	
whatsnew/3.5.html#email	email	
whatsnew/3.5.html#enum	enum	
whatsnew/3.5.html#faulthandler	faulthandler	
whatsnew/3.5.html#functools	functools	
whatsnew/3.5.html#glob	glob	
whatsnew/3.5.html#gzip	gzip	
whatsnew/3.5.html#heapq	heapq	
whatsnew/3.5.html#http	http	
whatsnew/3.5.html#http-client	http.client	
whatsnew/3.5.html#idlelib-and-idle	idlelib と IDLE	
whatsnew/3.5.html#imaplib	imaplib	
whatsnew/3.5.html#imghdr	imghdr	
whatsnew/3.5.html#importlib	importlib	
whatsnew/3.5.html#inspect	inspect	
whatsnew/3.5.html#io	io	
whatsnew/3.5.html#ipaddress	ipaddress	
whatsnew/3.5.html#json	json	
whatsnew/3.5.html#linecache	linecache	
whatsnew/3.5.html#locale	locale	
whatsnew/3.5.html#logging	logging	
whatsnew/3.5.html#lzma	lzma	
whatsnew/3.5.html#math	math	
whatsnew/3.5.html#multiprocessing	multiprocessing	
whatsnew/3.5.html#operator	operator	
whatsnew/3.5.html#os	os	
whatsnew/3.5.html#pathlib	pathlib	
whatsnew/3.5.html#pickle	pickle	
whatsnew/3.5.html#poplib	poplib	
whatsnew/3.5.html#re	re	
whatsnew/3.5.html#readline	readline	
whatsnew/3.5.html#selectors	selectors	
whatsnew/3.5.html#shutil	shutil	
whatsnew/3.5.html#signal	signal	
whatsnew/3.5.html#smtpd	smtpd	
whatsnew/3.5.html#smtplib	smtplib	
whatsnew/3.5.html#sndhdr	sndhdr	
whatsnew/3.5.html#socket	socket	
whatsnew/3.5.html#ssl	ssl	
whatsnew/3.5.html#memory-bio-support	メモリ BIO サポート	
whatsnew/3.5.html#application-layer-protocol-negotiation-support	Application-Layer Protocol Negotiation Support	
whatsnew/3.5.html#other-changes	その他の変更	
whatsnew/3.5.html#sqlite3	sqlite3	
whatsnew/3.5.html#subprocess	subprocess	
whatsnew/3.5.html#sys	sys	
whatsnew/3.5.html#sysconfig	sysconfig	
whatsnew/3.5.html#tarfile	tarfile	
whatsnew/3.5.html#threading	threading	
whatsnew/3.5.html#time	time	
whatsnew/3.5.html#timeit	timeit	
whatsnew/3.5.html#tkinter	tkinter	
whatsnew/3.5.html#traceback	traceback	
whatsnew/3.5.html#types	types	
whatsnew/3.5.html#unicodedata	unicodedata	
whatsnew/3.5.html#unittest	unittest	
whatsnew/3.5.html#unittest-mock	unittest.mock	
whatsnew/3.5.html#urllib	urllib	
whatsnew/3.5.html#wsgiref	wsgiref	
whatsnew/3.5.html#xmlrpc	xmlrpc	
whatsnew/3.5.html#xml-sax	xml.sax	
whatsnew/3.5.html#zipfile	zipfile	
whatsnew/3.5.html#other-module-level-changes	その他のモジュールレベルの変更	
whatsnew/3.5.html#optimizations	最適化	
whatsnew/3.5.html#build-and-c-api-changes	ビルドならびに C API の変更	
whatsnew/3.5.html#deprecated	非推奨	
whatsnew/3.5.html#new-keywords	新たなキーワード	
whatsnew/3.5.html#deprecated-python-behavior	非推奨の Python の挙動	
whatsnew/3.5.html#unsupported-operating-systems	サポートされないオペレーティングシステム	
whatsnew/3.5.html#deprecated-python-modules-functions-and-methods	非推奨の Python モジュール、関数、メソッド	
whatsnew/3.5.html#removed	削除	
whatsnew/3.5.html#api-and-feature-removals	API と機能の削除	
whatsnew/3.5.html#porting-to-python-3-5	Python 3.5 への移植	
whatsnew/3.5.html#changes-in-python-behavior	Python の挙動の変更	
whatsnew/3.5.html#changes-in-the-python-api	Python API の変更	
whatsnew/3.5.html#changes-in-the-c-api	C API の変更	
whatsnew/3.4.html	What’s New In Python 3.4	
whatsnew/3.4.html#summary-release-highlights	概要 – リリースハイライト	
whatsnew/3.4.html#new-features	新しい機能	
whatsnew/3.4.html#pep-453-explicit-bootstrapping-of-pip-in-python-installations	PEP 453: Python インストール時の PIP の明示的なブートストラッピング	
whatsnew/3.4.html#bootstrapping-pip-by-default	デフォルトでの pip のブートストラッピング	
whatsnew/3.4.html#documentation-changes	ドキュメントの変更	
whatsnew/3.4.html#pep-446-newly-created-file-descriptors-are-non-inheritable	PEP 446: 新規作成されたファイル記述子は継承不可	
whatsnew/3.4.html#improvements-to-codec-handling	Codec 処理の改良	
whatsnew/3.4.html#pep-451-a-modulespec-type-for-the-import-system	PEP 451: インポートシステムのための ModuleSpec 型	
whatsnew/3.4.html#other-language-changes	その他の言語変更	
whatsnew/3.4.html#new-modules	新たなモジュール	
whatsnew/3.4.html#asyncio	asyncio	
whatsnew/3.4.html#ensurepip	ensurepip	
whatsnew/3.4.html#enum	enum	
whatsnew/3.4.html#pathlib	pathlib	
whatsnew/3.4.html#selectors	selectors	
whatsnew/3.4.html#statistics	statistics	
whatsnew/3.4.html#tracemalloc	tracemalloc	
whatsnew/3.4.html#improved-modules	改良されたモジュール	
whatsnew/3.4.html#abc	abc	
whatsnew/3.4.html#aifc	aifc	
whatsnew/3.4.html#argparse	argparse	
whatsnew/3.4.html#audioop	audioop	
whatsnew/3.4.html#base64	base64	
whatsnew/3.4.html#collections	collections	
whatsnew/3.4.html#colorsys	colorsys	
whatsnew/3.4.html#contextlib	contextlib	
whatsnew/3.4.html#dbm	dbm	
whatsnew/3.4.html#dis	dis	
whatsnew/3.4.html#doctest	doctest	
whatsnew/3.4.html#email	email	
whatsnew/3.4.html#filecmp	filecmp	
whatsnew/3.4.html#functools	functools	
whatsnew/3.4.html#gc	gc	
whatsnew/3.4.html#glob	glob	
whatsnew/3.4.html#hashlib	hashlib	
whatsnew/3.4.html#hmac	hmac	
whatsnew/3.4.html#html	html	
whatsnew/3.4.html#http	http	
whatsnew/3.4.html#idlelib-and-idle	idlelib と IDLE	
whatsnew/3.4.html#importlib	importlib	
whatsnew/3.4.html#inspect	inspect	
whatsnew/3.4.html#ipaddress	ipaddress	
whatsnew/3.4.html#logging	logging	
whatsnew/3.4.html#marshal	marshal	
whatsnew/3.4.html#mmap	mmap	
whatsnew/3.4.html#multiprocessing	multiprocessing	
whatsnew/3.4.html#operator	operator	
whatsnew/3.4.html#os	os	
whatsnew/3.4.html#pdb	pdb	
whatsnew/3.4.html#pickle	pickle	
whatsnew/3.4.html#plistlib	plistlib	
whatsnew/3.4.html#poplib	poplib	
whatsnew/3.4.html#pprint	pprint	
whatsnew/3.4.html#pty	pty	
whatsnew/3.4.html#pydoc	pydoc	
whatsnew/3.4.html#re	re	
whatsnew/3.4.html#resource	resource	
whatsnew/3.4.html#select	select	
whatsnew/3.4.html#shelve	shelve	
whatsnew/3.4.html#shutil	shutil	
whatsnew/3.4.html#smtpd	smtpd	
whatsnew/3.4.html#smtplib	smtplib	
whatsnew/3.4.html#socket	socket	
whatsnew/3.4.html#sqlite3	sqlite3	
whatsnew/3.4.html#ssl	ssl	
whatsnew/3.4.html#stat	stat	
whatsnew/3.4.html#struct	struct	
whatsnew/3.4.html#subprocess	subprocess	
whatsnew/3.4.html#sunau	sunau	
whatsnew/3.4.html#sys	sys	
whatsnew/3.4.html#tarfile	tarfile	
whatsnew/3.4.html#textwrap	textwrap	
whatsnew/3.4.html#threading	threading	
whatsnew/3.4.html#traceback	traceback	
whatsnew/3.4.html#types	types	
whatsnew/3.4.html#urllib	urllib	
whatsnew/3.4.html#unittest	unittest	
whatsnew/3.4.html#venv	venv	
whatsnew/3.4.html#wave	wave	
whatsnew/3.4.html#weakref	weakref	
whatsnew/3.4.html#xml-etree	xml.etree	
whatsnew/3.4.html#zipfile	zipfile	
whatsnew/3.4.html#cpython-implementation-changes	CPython の実装の変更	
whatsnew/3.4.html#pep-445-customization-of-cpython-memory-allocators	PEP 445: CPython のメモリアロケータのカスタマイズ	
whatsnew/3.4.html#pep-442-safe-object-finalization	PEP 442: オブジェクトの安全なファイナライゼーション	
whatsnew/3.4.html#pep-456-secure-and-interchangeable-hash-algorithm	PEP 456: 安全で取り換え可能なハッシュアルゴリズム	
whatsnew/3.4.html#pep-436-argument-clinic	PEP 436: Argument Clinic	
whatsnew/3.4.html#other-build-and-c-api-changes	その他のビルド並びに C API の変更	
whatsnew/3.4.html#other-improvements	その他の改善	
whatsnew/3.4.html#significant-optimizations	大幅な最適化	
whatsnew/3.4.html#deprecated	非推奨	
whatsnew/3.4.html#deprecations-in-the-python-api	Python API の非推奨項目	
whatsnew/3.4.html#deprecated-features	非推奨の機能	
